feature,importance_gain,importance_split
Total Liabilities_YoY,1398.2076053023338,182
vol_60d,1071.188238799572,100
vol_120d,537.8661832213402,85
Total Assets,444.79551285505295,152
mom_12m,353.6860065460205,106
Stockholders Equity_YoY,260.78001165390015,96
Total Assets_YoY,259.68775230646133,87
Stockholders Equity,247.299978017807,88
Net Income,244.2813944220543,74
Total Revenue_YoY,239.65394788980484,112
amplitude_20d,239.54830539226532,46
Diluted EPS_YoY,221.31664085388184,79
ROE,204.74310284852982,63
Total Liabilities,182.0009245276451,86
ROE_YoY,176.0724904537201,78
Total Revenue,160.9237318634987,80
Operating Cash Flow,158.73622506856918,80
Operating Cash Flow_YoY,156.18844962120056,79
Net Income_YoY,131.35801607370377,62
macd_hist,124.5893280506134,68
Net_Margin_YoY,118.34568464756012,66
Net_Margin,115.95396637916565,65
macd_signal,94.69505363702774,45
mom_6m,93.55308604240417,57
Diluted EPS,84.05090254545212,46
bias_120d,61.43476265668869,34
macd_line,57.85304194688797,41
bb_pct_b,55.791979014873505,32
vol_trend_5_60,53.46510165929794,32
vol_20d,49.39504009485245,26
mom_3m,46.30433964729309,29
bias_60d,40.72361069917679,25
rsi_14d,37.91400724649429,24
rsi_28d,35.67796981334686,21
bias_20d,31.845392167568207,17
mom_1m,30.84206509590149,16
bb_width,28.402235627174377,21
