feature,importance_gain,importance_split
vol_60d_res,650.5030006170273,19
Diluted EPS,223.14745163917542,13
vol_120d,205.7275083065033,12
mom_12m,99.74096965789795,19
Total Assets,88.48845934867859,16
Total Assets_YoY,73.7723696231842,13
Total Liabilities_YoY,66.02150976657867,18
Operating Cash Flow_YoY,56.75357985496521,11
Stockholders Equity_YoY,53.53088092803955,10
Stockholders Equity,50.921390533447266,10
macd_hist,46.251399993896484,11
Total Liabilities,45.14622962474823,11
Net_Margin_YoY,34.11351013183594,11
Total Revenue_YoY,26.798800468444824,7
Net_Margin,22.93464994430542,8
Net Income_YoY,22.77207040786743,7
Net Income,22.38701057434082,5
mom_6m,21.277979612350464,7
Diluted EPS_YoY,20.65076971054077,5
ROE,20.02413010597229,5
macd_line,20.023659825325012,7
bias_120d,19.915209770202637,5
Operating Cash Flow,19.204710245132446,5
macd_signal,18.047720432281494,4
vol_60d,17.3563494682312,4
Total Revenue,12.65621018409729,3
mom_1m,10.991809844970703,4
rsi_28d,10.422850131988525,3
bias_60d,10.002150297164917,3
bb_width,7.620239973068237,2
mom_1m_res,6.497359871864319,3
ROE_YoY,5.8444600105285645,2
mom_3m,5.563869953155518,1
amplitude_20d,5.27836012840271,2
vol_trend_5_60,4.567409992218018,2
rsi_14d,3.2187299728393555,1
bb_pct_b,1.9431099891662598,1
bias_20d,0.0,0
vol_20d,0.0,0
